NT12001 NT12001_189.gff.gz
NT12002 NT12002_188.gff.gz
NT12003 NT12003_214.gff.gz
NT12004 NT12004_22.gff.gz
NT12005 NT12005_17.gff.gz
NT12006 NT12006_215.gff.gz
NT12007 NT12007_60.gff.gz
NT12010 NT12010_146.gff.gz
NT12011 NT12011_132.gff.gz
NT12012 NT12012_88.gff.gz
NT12013 NT12013_22.gff.gz
NT12014 NT12014_22.gff.gz
NT12015 NT12015_11.gff.gz
NT12016 NT12016_152.gff.gz
NT12017 NT12017_35.gff.gz
NT12018 NT12018_216.gff.gz
NT12020 NT12020_217.gff.gz
NT12022 NT12022_37.gff.gz
NT12023 NT12023_38.gff.gz
NT12024 NT12024_39.gff.gz
NT12025 NT12025_40.gff.gz
NT12026 NT12026_41.gff.gz
NT12027 NT12027_219.gff.gz
NT12028 NT12028_42.gff.gz
NT12029 NT12029_43.gff.gz
NT12030 NT12030_220.gff.gz
NT12031 NT12031_44.gff.gz
NT12032 NT12032_221.gff.gz
NT12033 NT12033_45.gff.gz
NT12034 NT12034_46.gff.gz
NT12035 NT12035_47.gff.gz
NT12036 NT12036_48.gff.gz
NT12037 NT12037_222.gff.gz
NT12038 NT12038_49.gff.gz
NT12039 NT12039_223.gff.gz
NT12040 NT12040_50.gff.gz
NT12041 NT12041_224.gff.gz
NT12042 NT12042_225.gff.gz
NT12043 NT12043_226.gff.gz
NT12044 NT12044_51.gff.gz
NT12045 NT12045_52.gff.gz
NT12048 NT12048_229.gff.gz
NT12052 NT12052_231.gff.gz
NT12054 NT12054_232.gff.gz
NT12055 NT12055_233.gff.gz
NT12056 NT12056_234.gff.gz
NT12057 NT12057_235.gff.gz
NT12058 NT12058_236.gff.gz
NT12060 NT12060_237.gff.gz
NT12061 NT12061_238.gff.gz
NT12062 NT12062_239.gff.gz
NT12064 NT12064_748.gff.gz
NT12065 NT12065_240.gff.gz
NT12066 NT12066_241.gff.gz
NT12068 NT12068_243.gff.gz
NT12069 NT12069_244.gff.gz
NT12070 NT12070_245.gff.gz
NT12072 NT12072_58.gff.gz
NT12073 NT12073_247.gff.gz
NT12074 NT12074_248.gff.gz
NT12075 NT12075_249.gff.gz
NT12076 NT12076_250.gff.gz
NT12079 NT12079_253.gff.gz
NT12081 NT12081_59.gff.gz
NT12082 NT12082_255.gff.gz
NT12083 NT12083_256.gff.gz
NT12084 NT12084_257.gff.gz
NT12085 NT12085_258.gff.gz
NT12086 NT12086_259.gff.gz
NT12087 NT12087_260.gff.gz
NT12088 NT12088_261.gff.gz
NT12089 NT12089_32.gff.gz
NT12090 NT12090_204.gff.gz
NT12091 NT12091_12.gff.gz
NT12092 NT12092_10.gff.gz
NT12093 NT12093_170.gff.gz
NT12094 NT12094_30.gff.gz
NT12095 NT12095_187.gff.gz
NT12096 NT12096_3.gff.gz
NT12097 NT12097_202.gff.gz
NT12098 NT12098_101.gff.gz
NT12099 NT12099_89.gff.gz
NT12100 NT12100_90.gff.gz
NT12101 NT12101_91.gff.gz
NT12102 NT12102_92.gff.gz
NT12103 NT12103_262.gff.gz
NT12104 NT12104_93.gff.gz
NT12105 NT12105_263.gff.gz
NT12106 NT12106_94.gff.gz
NT12107 NT12107_264.gff.gz
NT12108 NT12108_95.gff.gz
NT12109 NT12109_96.gff.gz
NT12110 NT12110_97.gff.gz
NT12111 NT12111_265.gff.gz
NT12112 NT12112_266.gff.gz
NT12113 NT12113_98.gff.gz
NT12114 NT12114_99.gff.gz
NT12115 NT12115_267.gff.gz
NT12116 NT12116_100.gff.gz
NT12117 NT12117_268.gff.gz
NT12118 NT12118_269.gff.gz
NT12119 NT12119_102.gff.gz
NT12120 NT12120_270.gff.gz
NT12121 NT12121_103.gff.gz
NT12122 NT12122_271.gff.gz
NT12123 NT12123_272.gff.gz
NT12124 NT12124_273.gff.gz
NT12125 NT12125_274.gff.gz
NT12127 NT12127_105.gff.gz
NT12128 NT12128_275.gff.gz
NT12130 NT12130_106.gff.gz
NT12131 NT12131_107.gff.gz
NT12132 NT12132_277.gff.gz
NT12133 NT12133_278.gff.gz
NT12134 NT12134_279.gff.gz
NT12135 NT12135_280.gff.gz
NT12136 NT12136_108.gff.gz
NT12137 NT12137_109.gff.gz
NT12138 NT12138_281.gff.gz
NT12139 NT12139_282.gff.gz
