NT	owner	website	email	nassos	mta
NT12001			typas@embl.de	x	
NT12002			typas@embl.de	x	
NT12003			typas@embl.de	x	
NT12004			typas@embl.de	x	
NT12005			typas@embl.de	x	
NT12006			typas@embl.de	x	
NT12007			typas@embl.de	x	
NT12008	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr	x	
NT12009			typas@embl.de	x	
NT12010			typas@embl.de	x	
NT12011			typas@embl.de	x	
NT12012			typas@embl.de	x	
NT12013			typas@embl.de	x	
NT12014			typas@embl.de	x	
NT12015			typas@embl.de	x	
NT12016			typas@embl.de	x	
NT12017	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12018	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12019	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12020	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12021	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12022			typas@embl.de	x	
NT12023			typas@embl.de	x	
NT12024			typas@embl.de	x	
NT12025	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12026	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12027	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12028	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12029	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12030	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12031	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12032	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12033	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12034	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12035	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12036	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12037	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12038			typas@embl.de	x	
NT12039			typas@embl.de	x	
NT12040	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12041	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12042	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12043	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
