b0001	thrL	ECK0001	P0AD86
b0002	thrA	ECK0002	P00561
b0003	thrB	ECK0003	P00547
b0004	thrC	ECK0004	P00934
b0005	yaaX	ECK0005	P75616
b0006	yaaA	ECK0006	P0A8I3
b0007	yaaJ	ECK0007	P30143
b0008	talB	ECK0008	P0A870
b0009	mog	ECK0009	P0AF03
b0010	satP	ECK0010	P0AC98
b0011	yaaW	ECK0011	P75617
b0013	yaaI	ECK0013	P28696
b0014	dnaK	ECK0014	P0A6Y8
b0015	dnaJ	ECK0015	P08622
b0016	insL1	ECK0016	P0CF91
b0018	mokC	ECK4466	P33236
b4412	hokC	ECK0018	P0ACG4
b0019	nhaA	ECK0020	P13738
b0020	nhaR	ECK0021	P0A9G2
b0021	insB1	ECK0022	P0CF25
b0022	insA	ECK0023	P0CF07
b0023	rpsT	ECK0024	P0A7U7
b0024	yaaY	ECK0025	P75620
b0025	ribF	ECK0026	P0AG40
b0026	ileS	ECK0027	P00956
b0027	lspA	ECK0028	P00804
b0028	fkpB	ECK0029	P0AEM0
b0029	ispH	ECK0030	P62623
b0030	rihC	ECK0031	P22564
b0031	dapB	ECK0032	P04036
b0032	carA	ECK0033	P0A6F1
b0033	carB	ECK0034	P00968
b0034	caiF	ECK0035	P0AE58
b0035	caiE	ECK0036	P39206
b0036	caiD	ECK0037	P31551
b0037	caiC	ECK0038	P31552
b0038	caiB	ECK0039	P31572
b0039	caiA	ECK0040	P60584
b0040	caiT	ECK0041	P31553
b0041	fixA	ECK0042	P60566
b0042	fixB	ECK0043	P31574
b0043	fixC	ECK0044	P68644
b0044	fixX	ECK0045	P68646
b0045	yaaU	ECK0046	P31679
b0046	kefF	ECK0047	P0A754
b0047	kefC	ECK0048	P03819
b0048	folA	ECK0049	P0ABQ4
b0049	apaH	ECK0050	P05637
b0050	apaG	ECK0051	P62672
b0051	rsmA	ECK0052	P06992
b0052	pdxA	ECK0053	P19624
b0053	surA	ECK0054	P0ABZ6
b0054	lptD	ECK0055	P31554
b0055	djlA	ECK0056	P31680
b0058	rluA	ECK0059	P0AA37
b0059	rapA	ECK0060	P60240
b0060	polB	ECK0061	P21189
b0061	araD	ECK0062	P08203
b0062	araA	ECK0063	P08202
b0063	araB	ECK0064	P08204
b0064	araC	ECK0065	P0A9E0
b0065	yabI	ECK0066	P30149
b0066	thiQ	ECK0067	P31548
b0067	thiP	ECK0068	P31549
b0068	thiB	ECK0069	P31550
b0069	sgrR	ECK0070	P33595
b4662	sgrT	ECK4477	C1P5Z7
b0070	setA	ECK0072	P31675
b0071	leuD	ECK0073	P30126
b0072	leuC	ECK0074	P0A6A6
b0073	leuB	ECK0075	P30125
b0074	leuA	ECK0076	P09151
b0075	leuL	ECK0077	P0AD79
b0076	leuO	ECK0078	P10151
b0077	ilvI	ECK0079	P00893
b0078	ilvH	ECK0080	P00894
b0080	cra	ECK0081	P0ACP1
b0081	mraZ	ECK0082	P22186
b0082	rsmH	ECK0083	P60390
b0083	ftsL	ECK0084	P0AEN4
b0084	ftsI	ECK0085	P0AD68
b0085	murE	ECK0086	P22188
b0086	murF	ECK0087	P11880
b0087	mraY	ECK0088	P0A6W3
b0088	murD	ECK0089	P14900
b0089	ftsW	ECK0090	P0ABG4
b0090	murG	ECK0091	P17443
